Tipo_Registro;Nr_Contrato;Dt_Vencimento;Tipo_Parcela;Nr_Parcela;Vl_Original;Vl_Saldo;Vl_Tarifa;Cliente;Dt_Inclusao;Dt_Devolucao;Dt_Inibicao;Motivo;Dt_Notificacao;Marcar_Dt_Lote;Dt_Lote;Documento;
7;000068837-2;04/11/2017;0;1;7.800,00;7.800,00;;3215;;13/12/2017;;61;;;;;
7;000068854-2;20/10/2017;0;1;15.400,00;15.400,00;;3215;;13/12/2017;;61;;;;;
7;000068860-2;20/10/2017;0;1;1.540,00;1.540,00;;3215;;13/12/2017;;61;;;;;
7;000068869-2;10/11/2017;0;1;656,52;656,52;;3215;;13/12/2017;;61;;;;;
7;000068877-2;04/11/2017;0;1;3.097,97;3.097,97;;3215;;13/12/2017;;61;;;;;
7;000068877-2;10/11/2017;0;2;3.097,97;3.097,97;;3215;;13/12/2017;;61;;;;;
7;000068989-2;08/11/2017;0;1;4.352,00;4.352,00;;3215;;13/12/2017;;61;;;;;
7;000069011-2;09/11/2017;0;1;365,00;365,00;;3217;;13/12/2017;;61;;;;;
7;000303986-2;28/10/2017;0;4;8.220,28;8.220,28;;3216;;13/12/2017;;61;;;;;
7;000304096-2;11/10/2017;0;3;28.188,34;28.188,34;;3216;;13/12/2017;;61;;;;;
7;000304096-2;10/11/2017;0;3;28.188,34;28.188,34;;3216;;13/12/2017;;61;;;;;
7;000304204-2;23/10/2017;0;3;970,01;970,01;;3216;;13/12/2017;;61;;;;;
7;000304255-2;29/10/2017;0;3;1.666,70;1.666,70;;3216;;13/12/2017;;61;;;;;
7;000304265-2;29/10/2017;0;3;46.778,87;46.778,87;;3215;;13/12/2017;;61;;;;;
7;000304269-2;29/10/2017;0;3;710,94;710,94;;3215;;13/12/2017;;61;;;;;
7;000304406-2;13/10/2017;0;1;920,53;920,53;;3216;;13/12/2017;;61;;;;;
7;000304455-2;20/10/2017;0;2;4.133,29;4.133,29;;3215;;13/12/2017;;61;;;;;
7;000304510-2;13/10/2017;0;3;2.266,25;2.266,25;;3218;;13/12/2017;;61;;;;;
7;000304510-2;28/10/2017;0;4;2.266,25;2.266,25;;3218;;13/12/2017;;61;;;;;
7;000304563-2;30/10/2017;0;2;18.720,81;18.720,81;;3215;;13/12/2017;;61;;;;;
7;000304612-2;05/10/2017;0;1;894,99;894,99;;3215;;13/12/2017;;61;;;;;
7;000304612-2;04/11/2017;0;2;894,99;894,99;;3215;;13/12/2017;;61;;;;;
7;000304636-2;08/10/2017;0;2;1.489,99;1.489,99;;3215;;13/12/2017;;61;;;;;
7;000304636-2;07/11/2017;0;3;1.490,03;1.490,03;;3215;;13/12/2017;;61;;;;;
7;000304646-2;11/10/2017;0;1;3.313,30;3.313,30;;3215;;13/12/2017;;61;;;;;
7;000304646-2;10/11/2017;0;2;3.313,30;3.313,30;;3215;;13/12/2017;;61;;;;;
7;000304667-2;13/10/2017;0;1;594,99;594,99;;3215;;13/12/2017;;61;;;;;
